COURSE CODE ,"23MCA1CC4   
",,,,,,TITLE OF THE COURSE ,,,,Resource Management Techniques,,,,,,,,,,,,,,Total No. of Students,,,,58.00,,,,,
Register Number,Q.No./ Exam,,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,20,7,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA080,CIA - I,,19,20,8,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,29,6,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,39,49,14,102.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,21,30,8,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA082,CIA - I,,18,20,0,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,12,9,0,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,30,29,0,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,29,8,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA081,CIA - I,,12,23,4,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,26,26,0,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,38,49,4,91.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,21,30,0,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA083,CIA - I,,13,27,0,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,16,31,6,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,29,58,6,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,31,8,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA084,CIA - I,,19,33,10,62.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,21,20,6,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,40,53,16,109.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,31,0,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA087,CIA - I,,20,16,0,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,12,10,2,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,32,26,2,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,26,0,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA088,CIA - I,,21,15,5,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,18,11,1,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,39,26,6,71.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,26,0,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA091,CIA - I,,22,15,6,43.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,11,10,0,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,33,25,6,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,30,0,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA092,CIA - I,,19,17,0,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
